scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,additional_blockage_probability
S4,0,RFOTO-ABC,0.28379028488862906,0.6362636024001528,1.5703959501104707,0.09323681315653605,0.88,0.12,0.06346059772338791,0.9972727119539617,0.0027272880460383277,1.017573201539659,0.9851936851153255,0.6108352760804474,0.44337519265183245,0.12259215542317496,0.84,0.8894930001115426,350,1,0.618273230904553,0.6994840600002334,0.0027272880460383277,0.08613185328218789,0.014806314884674543,0.0
S4,0,RFOTO-ABC-R,0.28789941711148703,0.6346555981018904,1.5699476800382894,0.09323615267730746,0.89,0.11,0.06379569058148796,0.9973010987804409,0.0026989012195590377,1.018263245679892,0.9850810330687033,0.6108352760804474,0.44337519265183245,0.12306467158933047,0.84,0.7934045000001788,350,1,0.6180875305167043,0.7267639174605302,0.0026989012195590377,0.08634128631850041,0.014918966931296684,0.0
S4,0,Standard-ABC,0.7108142066376353,1.6073651806033649,4.105535230577398,0.1644562619550787,0.33,0.67,0.6684114146260107,0.9962059271717522,0.0037940728282478044,1.0947891201180602,0.8858789220231138,0.32334860047616426,0.22110229992916702,0.3589184209334617,0.28,0.922814599936828,350,1,1.5026562103591532,0.9820433105829154,0.0037940728282478044,0.6798667247929089,0.1141210779768862,0.0
S4,0,Max-SINR,0.3046062348299864,0.6594656479847183,1.5851571996770963,0.0917458217871484,0.85,0.15,0.06181207130263215,0.9983919832134767,0.0016080167865232032,1.0134168850801744,0.9868076670828172,0.6449858853190163,0.4525241522514795,0.11562308256398825,0.94,0.002498699934221804,1,1,0.6736345859079649,0.7710505051308081,0.0016080167865232032,0.07295823715396767,0.013192332917182803,0.0
S4,1,RFOTO-ABC,0.2506679748314728,0.6167924625597359,1.3764142026161537,0.0741402754508445,0.9,0.1,0.0709160599416692,0.9980389161988622,0.0019610838011378693,1.0247522046222106,0.9848948233235343,0.6651147529216338,0.27536382191216235,0.12384200575907962,0.78,0.8602111999643967,350,1,0.5371523344992309,0.6525932853632184,0.0019610838011378693,0.0633316205619395,0.015105176676465715,0.0
S4,1,RFOTO-ABC-R,0.24745267683692085,0.6273742666764885,1.4317700867223453,0.0714170099086298,0.89,0.11,0.07876425695621415,0.9980847283591109,0.001915271640889119,1.0239343345271201,0.982991089113705,0.6489826093307987,0.27536382191216235,0.13154170369160692,0.78,0.8524997000349686,350,1,0.5443592001819205,0.6010673302409706,0.001915271640889119,0.07307354517669233,0.01700891088629497,0.0
S4,1,Standard-ABC,0.648769067820137,1.5158608983935176,4.357616168772895,0.15975406858029,0.38,0.62,0.609148759151832,0.9959425860624684,0.0040574139375315725,1.0900196920392902,0.8913220613665469,0.30394462826566204,0.23993571145042178,0.3491832221078092,0.27,0.8552904999814928,350,1,1.3872685953458672,0.9159899998931644,0.0040574139375315725,0.5897609816686853,0.1086779386334531,0.0
S4,1,Max-SINR,0.24066899646394632,0.573695271911318,1.5214893176202484,0.0643012897947408,0.9,0.1,0.07636636606471871,0.9976399915165812,0.002360008483418713,1.023328006428325,0.9836428597003767,0.6629459346174658,0.27536382191216235,0.12895404439846467,0.88,0.001502299914136529,1,1,0.5587480296745253,0.5308023799208471,0.002360008483418713,0.0737442372622426,0.01635714029962332,0.0
S4,2,RFOTO-ABC,0.30698612740321546,0.7096684797852834,1.7181966443570378,0.09343270598665104,0.85,0.15,0.10712955777082411,0.9978136372826458,0.002186362717354172,1.0230735173838053,0.9781587927039282,0.5664198506675354,0.22975804830932958,0.14942856946471808,0.79,0.9356011999770999,350,1,0.6393712899348936,0.7569154728409062,0.002186362717354172,0.11957012142189825,0.021841207296071752,0.0
S4,2,RFOTO-ABC-R,0.3106292454134543,0.7083378707048069,1.939772235703566,0.08901386312223938,0.84,0.16,0.1188583233653961,0.9975544715972393,0.0024455284027607416,1.0240914988764704,0.9755723211384747,0.5664198506675354,0.22975804830932958,0.15823821160856397,0.78,0.8827130000572652,350,1,0.6618483334105781,0.704984865650356,0.0024455284027607416,0.1410646988139016,0.024427678861525304,0.0
