scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,bandwidth_scale,cpu_scale
S3,0,RFOTO-ABC,0.5533812020694118,1.378083469082892,2.7093260384618363,0.1648709089104286,0.35,0.65,0.4766173988593863,0.9994131627319177,0.0005868372680822853,1.0082384243833056,0.919611211080362,0.37707300582466685,0.21709136599337844,0.2956620708261913,0.52,0.4986263000173494,280,1,1.1590989592379668,1.0977012384911988,0.0005868372680822853,0.3471023627787124,0.08038878891963797,0.5,0.5
S3,1,RFOTO-ABC,0.4687279490607705,1.0498724708614284,2.3000837472776863,0.14528955468221955,0.48,0.52,0.27854054800489814,0.9996090549242629,0.00039094507573711137,1.0092431487590634,0.9490115147760773,0.4849554766059276,0.31958408901372876,0.23179299874165188,0.47,0.5431477999081835,280,1,1.031583190216795,0.9732544253326705,0.00039094507573711137,0.22847010363174106,0.05098848522392274,0.5,0.5
S3,2,RFOTO-ABC,0.5050737677485269,1.1880933635442543,2.9397184246622055,0.1398029810387505,0.49,0.51,0.3435578124945588,0.999081269230044,0.0009187307699559011,1.0127350450430728,0.9357309730033002,0.4045664081902789,0.2960964668047695,0.26207485849120454,0.46,0.5692863999865949,280,1,1.0765174919363705,1.0144313736435961,0.0009187307699559011,0.2958223540575948,0.06426902699669979,0.5,0.5
S3,3,RFOTO-ABC,0.45881996437379136,0.9995102829797514,2.0743053404377307,0.128238637933721,0.43,0.57,0.2268825429659241,0.99932447645093,0.0006755235490700173,1.0102722733048388,0.9620571188774734,0.538518728638285,0.3146223577246927,0.1985933600438892,0.53,0.5308626999612898,280,1,1.0385185556308882,0.9389331717746349,0.0006755235490700173,0.21009525128672435,0.03794288112252664,0.5,0.5
S3,4,RFOTO-ABC,0.46616727618133935,1.1501665743772698,2.5452898152741614,0.1321439577554155,0.41,0.59,0.28274312816689556,0.9990856324569866,0.0009143675430134535,1.0103186295949704,0.9525732593717867,0.48370759615140635,0.35361398007349587,0.2231323023347921,0.54,0.5012926000636071,280,1,1.0084594259728485,1.00078816838764,0.0009143675430134535,0.22654923930858611,0.04742674062821328,0.5,0.5
S3,5,RFOTO-ABC,0.45415363159185046,0.9179812556562905,1.9940921030744903,0.1200522474691044,0.47,0.53,0.21305044261558714,0.9994808361054258,0.0005191638945739973,1.0273213732424105,0.9621955616662843,0.5053900156361367,0.37098249497974883,0.1982164621429961,0.45,0.5629497000481933,280,1,0.9945347922089415,0.9826109712497627,0.0005191638945739973,0.2094151572927141,0.03780443833371572,0.5,0.5
S3,6,RFOTO-ABC,0.4583349432735848,1.247276508735655,2.463400292435051,0.164961829739219,0.48,0.52,0.3083241138054486,0.9998479968526532,0.00015200314734674535,1.0151916065666746,0.9451922521361622,0.48987744868361804,0.3215072885602193,0.24080245029880243,0.5,0.516829900094308,280,1,1.0166519151353697,0.9374359431754055,0.00015200314734674535,0.2212200408175462,0.0548077478638378,0.5,0.5
S3,7,RFOTO-ABC,0.44078064554021495,1.2427711552603211,2.9248823500999963,0.13216759432794972,0.4,0.6,0.34057923295402454,0.9991408448152191,0.0008591551847809742,1.0139322801137711,0.942739930396551,0.45702628995610844,0.2959343269603696,0.24645065949047917,0.56,0.5183733000885695,280,1,1.0109529927625136,0.7959139916188004,0.0008591551847809742,0.239577828517172,0.05726006960344898,0.5,0.5
S3,0,RFOTO-ABC,0.5227089040658405,1.2449792660224044,2.6496570869787526,0.1723047158799806,0.4,0.6,0.3813194071744266,0.9990374992721434,0.00096250072785663,1.010118607306565,0.9333607195731545,0.42118379372467035,0.21709136599337844,0.2672024215187993,0.6,0.47176060010679066,280,1,1.0574639962835704,1.1827752311980615,0.00096250072785663,0.28295291242256193,0.06663928042684553,0.5,0.75
S3,1,RFOTO-ABC,0.4463321573316202,0.9311813019623328,1.8099754842140185,0.13798912072469818,0.55,0.45,0.20997838884072764,0.9997261264566947,0.00027387354330526303,1.0083634940079584,0.9619543378085832,0.5184458371935631,0.31958408901372876,0.19887278016564347,0.51,0.5481831000652164,280,1,0.9711503523520287,0.9816769342905287,0.00027387354330526303,0.20212562025064043,0.03804566219141681,0.5,0.75
S3,2,RFOTO-ABC,0.47720777757618227,1.1182335040448763,2.764538537905301,0.1359725962079893,0.54,0.46,0.3147086950247778,0.9991157239821546,0.0008842760178452869,1.009701349336869,0.9395651479883296,0.4205271303320502,0.2567412015641857,0.2536181218539184,0.47,0.5534318999852985,280,1,1.0062988509022226,0.9959044140050003,0.0008842760178452869,0.2680212789782278,0.060434852011670426,0.5,0.75
S3,3,RFOTO-ABC,0.4279921608010176,0.9029343924570409,2.0303489322019472,0.12898065992810326,0.52,0.48,0.1787659806977352,0.9990408990430647,0.0009591009569352271,1.0089688453490815,0.9697459038970824,0.5657005822084424,0.3146223577246927,0.17662944899160088,0.55,0.5211864999728277,280,1,0.9513898520497315,0.9413668718733328,0.0009591009569352271,0.17683892960304068,0.030254096102917627,0.5,0.75
S3,4,RFOTO-ABC,0.4296490886077774,1.0251764232527578,2.2776017233967005,0.13844585407463483,0.52,0.48,0.20277962612989583,0.9994110236812126,0.0005889763187873243,1.0093566150678173,0.9652046424806533,0.5611260717234657,0.39303783816669724,0.18986763923899022,0.6,0.47636540001258254,280,1,0.8922564958971292,1.068640347349436,0.0005889763187873243,0.1638072545576807,0.034795357519346704,0.5,0.75
S3,5,RFOTO-ABC,0.45508143187062466,0.8404344178184283,1.8253925272129194,0.12402641905873357,0.59,0.41,0.17555320644539152,0.9995641905838211,0.0004358094161790027,1.0244697363937776,0.9671229159940373,0.5053900156361367,0.37098249497974883,0.18437660278441406,0.49,0.572216400061734,280,1,0.9625140030494758,1.0526287808041586,0.0004358094161790027,0.20615955801400707,0.032877084005962676,0.5,0.75
S3,6,RFOTO-ABC,0.42963977177590756,1.134262105468425,2.1828627226145185,0.16561486739719608,0.51,0.49,0.2542688009759391,0.9998373726594383,0.00016262734056167515,1.014201653815905,0.955175621556743,0.5442831761318528,0.3215072885602193,0.2166284654319369,0.53,0.5208854000084102,280,1,0.9299007815589058,0.9606443880532298,0.00016262734056167515,0.18524694377438283,0.04482437844325704,0.5,0.75
S3,7,RFOTO-ABC,0.4058934917188966,1.0987826153201052,2.272291620582938,0.12966706339584236,0.48,0.52,0.2591181108654107,0.9991907855086488,0.0008092144913511701,1.0119302929283422,0.9531366799278314,0.4839897850465934,0.2959343269603696,0.22173739198185988,0.59,0.5390052000293508,280,1,0.9089798881814977,0.8313440819639165,0.0008092144913511701,0.1870222658793566,0.046863320072168646,0.5,0.75
S3,0,RFOTO-ABC,0.512119910951862,1.1663815345156074,2.60835462471479,0.17774290557641773,0.48,0.52,0.3394197853048281,0.9987595279736076,0.0012404720263924217,1.0095255614991676,0.9355613597925815,0.42118379372467035,0.21709136599337844,0.262444239946302,0.62,0.47823639994021505,280,1,0.9948380806847715,1.2615620406572159,0.0012404720263924217,0.25704877698278217,0.06443864020741852,0.5,1.0
S3,1,RFOTO-ABC,0.4399743425862943,0.8774947033655474,1.7066175383077324,0.1408674651744115,0.62,0.38,0.1856742581937949,0.9996848550513391,0.00031514494866089816,1.0090514887832287,0.9648202579671485,0.5184458371935631,0.31958408901372876,0.19095151942469182,0.54,0.5396452000131831,280,1,0.9248377318295434,1.045939361204156,0.00031514494866089816,0.18613606061450047,0.03517974203285146,0.5,1.0
S3,2,RFOTO-ABC,0.46832893183491375,1.0579082681062573,2.580667265818534,0.1356644502388709,0.57,0.43,0.3044143160515229,0.9991152726951543,0.0008847273048458226,1.0095038566524153,0.9402376672543019,0.4205271303320502,0.2567412015641857,0.2521128302078092,0.47,0.563387000001967,280,1,0.9713120514820849,0.9988146131755333,0.0008847273048458226,0.26614972646095464,0.05976233274569809,0.5,1.0
S3,3,RFOTO-ABC,0.4169965505881615,0.8483308989812879,1.9005103914293588,0.12718573455172172,0.58,0.42,0.17385197105949815,0.9990662395972977,0.0009337604027021839,1.0077845269218515,0.9689145186608399,0.5632965454179614,0.2843459549226527,0.1791166946962987,0.57,0.505848899949342,280,1,0.9104699140638435,0.9442879167334053,0.0009337604027021839,0.1715452411231017,0.031085481339160115,0.5,1.0
