scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,parameter,value
S4,0,RFOTO-ABC,0.32070918677315474,0.6799150187179198,1.6491331939393603,0.09219698718177276,0.82,0.18,0.07669462577885607,0.9982291067480822,0.0017708932519178633,1.0288358545003573,0.9841726254496675,0.6825853735699363,0.3570558707660864,0.12681446663025533,0.8,0.7236171000404283,280,1,0.6893779439509243,0.8376473324467538,0.0017708932519178633,0.07995726434190864,0.01582737455033245,population,8.0
S4,1,RFOTO-ABC,0.3157018645667868,0.7610512046415299,2.3304221327166896,0.09170606006142144,0.87,0.13,0.15414429192191437,0.9991493305102687,0.0008506694897313749,1.0103754033296124,0.967168367826085,0.43809332692772285,0.23822063161043922,0.18424478102313166,0.78,0.6577396000502631,280,1,0.6735670223920692,0.7135972462233324,0.0008506694897313749,0.14070257324494417,0.03283163217391505,population,8.0
S4,2,RFOTO-ABC,0.2730719150244318,0.6806042750005529,2.135878478936465,0.07616161718610387,0.86,0.14,0.12191006895542746,0.9975357703296487,0.0024642296703512277,1.0272857841200735,0.9750188121511677,0.5695081417485217,0.23860879579044939,0.16006635117255175,0.84,0.7172806999878958,280,1,0.5838340111975541,0.6404991520301997,0.0024642296703512277,0.10719406123647295,0.024981187848832298,population,8.0
S4,3,RFOTO-ABC,0.29223618488889336,0.607676809856579,1.2591009970019678,0.06783292277518811,0.89,0.11,0.09987179995767484,0.9986689458593654,0.001331054140634499,1.015832608637881,0.9791840378682384,0.56805549477151,0.24201108960011772,0.14580287308773549,0.86,0.7118838999886066,280,1,0.6459144600408151,0.5937545399731431,0.001331054140634499,0.15322313493930795,0.020815962131761623,population,8.0
S4,4,RFOTO-ABC,0.25807769356730986,0.6493688410624658,1.489046983350341,0.08841705985379232,0.89,0.11,0.06520278197460815,0.9991086403859242,0.0008913596140757951,1.018942016242292,0.9856320293262998,0.6911407850609577,0.3853131959798628,0.12073698106460266,0.82,0.6449610999552533,280,1,0.5680430729335418,0.6634455248377706,0.0008913596140757951,0.0568665163375544,0.014367970673700214,population,8.0
S4,5,RFOTO-ABC,0.26177073095735093,0.6709911241244645,1.6453985033220013,0.09697122655016026,0.86,0.14,0.0667306646089496,0.9989675566530809,0.0010324433469189377,1.0203689282603643,0.9859320342098484,0.6938436640841457,0.3304339746101377,0.11945165271416736,0.83,0.7169130999827757,280,1,0.5787113226216333,0.6683966821589857,0.0010324433469189377,0.05806685776075292,0.014067965790151571,population,8.0
S4,0,RFOTO-ABC,0.3238327643941604,0.7068471057214044,1.830379009343232,0.09290947178466746,0.82,0.18,0.10245185083398735,0.9980434925556387,0.0019565074443611374,1.029198579774193,0.9782741732677904,0.6072544791627188,0.2872373808768982,0.14902456463046104,0.81,0.7158879999769852,280,1,0.6610478828413106,0.9011454552517408,0.0019565074443611374,0.07899519958947189,0.021725826732209574,population,14.0
S4,1,RFOTO-ABC,0.31582796412929376,0.7608938539713421,2.3304221327166896,0.09145603136821062,0.87,0.13,0.15414429192191437,0.9991502066939387,0.000849793306061265,1.0103707218177542,0.9671683259957964,0.43809332692772285,0.23822063161043922,0.18424490237916646,0.78,0.7008394999429584,280,1,0.6736625012187146,0.7142799050102413,0.000849793306061265,0.14070257324494417,0.032831674004203615,population,14.0
S4,2,RFOTO-ABC,0.27353891482207987,0.6811560715730436,2.135878478936465,0.07639851685055254,0.86,0.14,0.12191006895542746,0.9974918748191882,0.002508125180811652,1.0276594339122544,0.9750203447516659,0.5695081417485217,0.23860879579044939,0.16006131524955786,0.84,0.6810378999216482,280,1,0.5843999795618996,0.6426122086604952,0.002508125180811652,0.10719406123647295,0.02497965524833412,population,14.0
S4,3,RFOTO-ABC,0.29228714723624616,0.6082159202728309,1.2591009970019678,0.06813302307626594,0.89,0.11,0.09974873918807925,0.9986588042123692,0.001341195787630689,1.0158343171077395,0.9791996606342944,0.56805549477151,0.24201108960011772,0.14574698625292923,0.86,0.7901846000459045,280,1,0.6461045995709409,0.5939249522112748,0.001341195787630689,0.1531358577977508,0.020800339365705578,population,14.0
