scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,ood_case
S2,0,RFOTO-ABC,0.17994180307053434,0.4930989011914317,0.9469294922843507,0.049494063621596945,0.96,0.04,0.04752829465005801,0.9997677146804439,0.00023228531955613808,1.0056032112207869,0.9896207780896001,0.9956339075049551,0.3362321011685703,0.10241132759780278,0.96,0.547979399911128,350,1,0.39149378521669664,0.486924802512116,0.00023228531955613808,0.029705184156286257,0.01037922191039986,in_distribution
S2,0,Standard-ABC,0.5351613450706679,1.3555615091585875,4.343936404736639,0.1368786180552555,0.48,0.52,0.535518870312709,0.9981200943919462,0.0018799056080539712,1.0313045650161579,0.8968917218844324,0.33591149774861806,0.24603543402692796,0.33906015744947954,0.5,0.5713961999863386,350,1,1.1162611702318714,0.9171050748781662,0.0018799056080539712,0.410752273768117,0.10310827811556755,in_distribution
S2,0,Delay-Greedy,0.2173704290305822,0.542384604537778,1.0975109277208397,0.08576899464748455,0.96,0.04,0.0724447358778419,0.9995588013947727,0.00044119860522733533,1.00783725576229,0.986709738434503,0.9947679728751644,0.23488118327844226,0.11605719154629773,0.98,0.0021846999879926443,1,1,0.4241381539299531,0.6528974774087408,0.00044119860522733533,0.045277959923651204,0.013290261565496952,in_distribution
S2,1,RFOTO-ABC,0.1897281763894091,0.4669030031327535,0.8345351025846701,0.052998967283662796,0.94,0.06,0.05341478526625885,0.999639851262144,0.00036014873785588763,1.0082405465742175,0.9874379326417034,0.8979911321256857,0.4254198904083193,0.11279131384012707,0.94,0.5906078999396414,350,1,0.4330257055961931,0.4730356559843835,0.00036014873785588763,0.03424024696555054,0.01256206735829657,in_distribution
S2,1,Standard-ABC,0.5332393329595755,1.1562019549101763,3.407704740945971,0.14756139347009453,0.48,0.52,0.4132971869603898,0.996616211657258,0.0033837883427419203,1.053028296580679,0.9220278471927786,0.33285326530765724,0.25405343681755915,0.2908022374482971,0.5,0.6005577000323683,350,1,1.1259768556490437,0.9812672441273865,0.0033837883427419203,0.36872980735429994,0.07797215280722136,in_distribution
S2,1,Delay-Greedy,0.18899858614067344,0.469420010973465,0.9805349271803135,0.048317762600599196,0.94,0.06,0.050910156395676316,0.9987992610243771,0.0012007389756228837,1.0143430256397294,0.9878222988365425,0.9315729653660099,0.4254198904083193,0.11103074232540212,0.96,0.003583699930459261,1,1,0.4452508591618075,0.4497359298067657,0.0012007389756228837,0.03263471563825405,0.01217770116345751,in_distribution
S2,2,RFOTO-ABC,0.18530114620522867,0.5000908431241808,1.2962863306871992,0.04876126266153146,0.96,0.04,0.051112287564350864,0.9997943257241542,0.00020567427584587295,1.0071069149336256,0.989119160085422,0.9970778521724954,0.31661053606997447,0.10488343517739619,0.9,0.5640420999843627,350,1,0.41996749019470136,0.47353345093953964,0.00020567427584587295,0.03042398069306599,0.010880839914578,in_distribution
S2,2,Standard-ABC,0.5449821847663153,1.1800807368163495,2.808526401196008,0.1668078949885374,0.52,0.48,0.46547991742334566,0.9978649643892459,0.002135035610754068,1.0416192481029216,0.9141853611693315,0.3230989011616733,0.17533099783520106,0.3063822196439338,0.58,0.5162021000869572,350,1,1.1002455786743626,0.9929079403348381,0.002135035610754068,0.4307415844029913,0.08581463883066853,in_distribution
S2,2,Delay-Greedy,0.2912870084904354,0.6324029630041624,1.8126529486516991,0.0681470042851477,0.8,0.2,0.1032250206100931,0.9996228329655196,0.000377167034480288,1.0061357359095773,0.9786491998303695,0.6220452040746509,0.31661053606997447,0.1477044416429069,0.98,0.0022006999934092164,1,1,0.4956867946484457,0.9915092682251142,0.000377167034480288,0.06144346464886494,0.021350800169630535,in_distribution
S2,3,RFOTO-ABC,0.1772652669731769,0.43188694286066187,0.9571453560816757,0.04871850144476176,0.94,0.06,0.010027294825911484,0.9986476048643017,0.0013523951356983965,1.026318477288972,0.9983491230758182,0.9657985781461682,0.7462094565554607,0.040664564740463434,0.88,0.606006000074558,350,1,0.39195342785737924,0.5155631186110486,0.0013523951356983965,0.005697326605631525,0.0016508769241817545,in_distribution
S2,3,Standard-ABC,0.4790079933341217,0.9762923417611482,2.9482873427614065,0.11017790573785752,0.62,0.38,0.2981952141438734,0.9988376935848913,0.0011623064151086847,1.0502809432228626,0.9394777732275157,0.41598638179851277,0.29789678240758777,0.2538131940285181,0.56,0.5629596000071615,350,1,1.0312637028424967,0.8552648120177112,0.0011623064151086847,0.33436620208778567,0.06052222677248431,in_distribution
