comparison,p_raw,a12_rfoto_smaller,rfoto_mean,other_mean,relative_gap_pct_positive_other_worse,p_holm,reject_0_05
RFOTO-ABC vs Standard-ABC,7.105427357601002e-15,0.9431423611111112,0.28020738644519905,0.6321255607313033,125.59204050637327,7.105427357601002e-14,1
RFOTO-ABC vs GA,7.105427357601002e-15,0.8372395833333334,0.28020738644519905,0.49565745156888363,76.88950239925984,7.105427357601002e-14,1
RFOTO-ABC vs PSO,7.105427357601002e-15,0.9973958333333334,0.28020738644519905,0.8024410585895408,186.3739849150895,7.105427357601002e-14,1
RFOTO-ABC vs DE,7.105427357601002e-15,1.0,0.28020738644519905,1.0879259544115139,288.25741470033756,7.105427357601002e-14,1
RFOTO-ABC vs Gbest-ABC,1.7893498763444144e-09,0.5260416666666667,0.28020738644519905,0.2877008083403869,2.674241386086151,1.0736099258066487e-08,1
RFOTO-ABC vs MeABC,1.7893498763444144e-09,0.5260416666666667,0.28020738644519905,0.287551856549826,2.621083690120119,1.0736099258066487e-08,1
RFOTO-ABC vs JADE,1.7893498763444144e-09,0.5256076388888888,0.28020738644519905,0.28733814026869675,2.5448129380030764,1.0736099258066487e-08,1
RFOTO-ABC vs CMAES-lite,1.7893498763444144e-09,0.5264756944444444,0.28020738644519905,0.28788323717703884,2.7393463210296147,1.0736099258066487e-08,1
RFOTO-ABC vs GWO,1.7893498763444144e-09,0.5264756944444444,0.28020738644519905,0.28788323717703884,2.7393463210296147,1.0736099258066487e-08,1
RFOTO-ABC vs LSHADE-lite,2.611618585255399e-09,0.5234375,0.28020738644519905,0.2864410853862449,2.2246733107676318,1.0736099258066487e-08,1
