algorithm,objective_mean,objective_std,delay_mean_s,violation_rate,reliability_mean,jain,runtime_s,offload_rate,mean_rank,win_count,gap_to_best_pct
RFOTO-ABC,0.28020738644519905,0.08401136777527342,0.6709414558735372,0.16822916666666665,0.9985153787352794,0.9817095992888017,0.8347136187524787,0.7959027777777777,1.1458333333333333,45,0.0
LSHADE-lite,0.2864410853862449,0.08172160936511763,0.6764584673521609,0.17072916666666668,0.9985629875206264,0.9803940966527699,0.8117568104122862,0.7883333333333334,4.260416666666667,2,2.2246733107676318
JADE,0.28733814026869675,0.08081562285867035,0.676882922125642,0.17135416666666667,0.9985710210562745,0.980332472587719,0.8497020833310671,0.7879166666666667,4.416666666666667,0,2.5448129380030764
MeABC,0.28755185654982596,0.08033200558357523,0.6757865809310629,0.1728125,0.9985928429431925,0.980186393758356,0.8342042104134938,0.789375,4.59375,1,2.6210836901200993
Gbest-ABC,0.2877008083403869,0.08040198403109267,0.677900785153125,0.1728125,0.9985917175137803,0.980034188721029,0.8415333458348565,0.7872916666666666,4.520833333333333,0,2.674241386086151
GWO,0.28788323717703884,0.08015555699226987,0.6759033102272305,0.17072916666666668,0.9985900437065157,0.9801103180426353,0.8718731729156085,0.7883333333333334,4.65625,0,2.7393463210296147
CMAES-lite,0.28788323717703884,0.08015555699226987,0.6759033102272305,0.17072916666666668,0.9985900437065157,0.9801103180426353,0.8658221270743525,0.7883333333333334,4.65625,0,2.7393463210296147
GA,0.49565745156888363,0.16927938525101086,1.1614132336942755,0.4775347222222222,0.998152714778608,0.9263903656771518,0.8581358687467097,0.4621180555555555,7.75,0,76.88950239925984
Standard-ABC,0.6321255607313033,0.1643167156628462,1.3819193461471562,0.570625,0.9975339305316676,0.9014084623083424,0.8692651458319839,0.4085763888888889,9.0,0,125.59204050637327
PSO,0.8024410585895408,0.19257948876805805,1.770445040242506,0.7042708333333333,0.9985268319715774,0.868341352738024,0.931401260416654,0.2461458333333333,10.0,0,186.3739849150895
DE,1.0879259544115139,0.30632266186824114,2.2902494528771973,0.7702777777777778,0.9987120026958739,0.8304061991342779,0.8691207020844255,0.22739583333333332,11.0,0,288.25741470033756
