scenario,run,algorithm,fe,objective
S2,0,RFOTO-ABC,14,0.2141887986603751
S2,0,RFOTO-ABC,19,0.2141887986603751
S2,0,RFOTO-ABC,24,0.2141887986603751
S2,0,RFOTO-ABC,29,0.210918931353917
S2,0,RFOTO-ABC,34,0.210918931353917
S2,0,RFOTO-ABC,39,0.210918931353917
S2,0,RFOTO-ABC,44,0.210918931353917
S2,0,RFOTO-ABC,49,0.210918931353917
S2,0,RFOTO-ABC,54,0.210918931353917
S2,0,RFOTO-ABC,59,0.210918931353917
S2,0,RFOTO-ABC,64,0.210918931353917
S2,0,RFOTO-ABC,69,0.210918931353917
S2,0,RFOTO-ABC,74,0.210918931353917
S2,0,RFOTO-ABC,79,0.210918931353917
S2,0,RFOTO-ABC,84,0.210918931353917
S2,0,RFOTO-ABC,89,0.210918931353917
S2,0,RFOTO-ABC,94,0.210918931353917
S2,0,RFOTO-ABC,99,0.210918931353917
S2,0,RFOTO-ABC,104,0.210918931353917
S2,0,RFOTO-ABC,109,0.210918931353917
S2,0,RFOTO-ABC,114,0.210918931353917
S2,0,RFOTO-ABC,119,0.210918931353917
S2,0,RFOTO-ABC,124,0.210918931353917
S2,0,RFOTO-ABC,129,0.210918931353917
S2,0,RFOTO-ABC,134,0.210918931353917
S2,0,RFOTO-ABC,139,0.210918931353917
S2,0,RFOTO-ABC,144,0.21085878308642705
S2,0,RFOTO-ABC,149,0.21085878308642705
S2,0,RFOTO-ABC,154,0.21085878308642705
S2,0,RFOTO-ABC,159,0.21085878308642705
S2,0,RFOTO-ABC,164,0.21085878308642705
S2,0,RFOTO-ABC,169,0.21085878308642705
S2,0,RFOTO-ABC,174,0.21085878308642705
S2,0,RFOTO-ABC,179,0.21085878308642705
S2,0,RFOTO-ABC,184,0.21085878308642705
S2,0,RFOTO-ABC,189,0.21085878308642705
S2,0,RFOTO-ABC,194,0.21085878308642705
S2,0,RFOTO-ABC,199,0.21085878308642705
S2,0,RFOTO-ABC,204,0.21085878308642705
S2,0,RFOTO-ABC,209,0.21085878308642705
S2,0,RFOTO-ABC,214,0.21085878308642705
S2,0,RFOTO-ABC,219,0.21085878308642705
S2,0,RFOTO-ABC,224,0.21085878308642705
S2,0,RFOTO-ABC,229,0.21085878308642705
S2,0,RFOTO-ABC,234,0.21085878308642705
S2,0,RFOTO-ABC,239,0.21085878308642705
S2,0,RFOTO-ABC,244,0.21085878308642705
S2,0,RFOTO-ABC,249,0.21085878308642705
S2,0,RFOTO-ABC,254,0.21085878308642705
S2,0,RFOTO-ABC,259,0.21085878308642705
S2,0,RFOTO-ABC,264,0.21085878308642705
S2,0,RFOTO-ABC,269,0.21085878308642705
S2,0,RFOTO-ABC,274,0.21085878308642705
