scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss
S1,0,RFOTO-ABC,0.3585790348752092,0.6487102168469112,1.1659332745290407,0.06680432791779707,0.95,0.05,0.11873300419640898,0.9991449486863468,0.0008550513136531879,1.0114870638263787,0.9753678394050542,0.9534625623019632,0.2963261410423232,0.1589157851325749,0.95,0.5022893999703228,500,1,0.7716061754539983,0.5680647897900365,0.0008550513136531879,0.3064077527649264,0.024632160594945773
S1,0,Standard-ABC,0.5071828496146407,1.0031920915597914,2.1200593220806705,0.19201353212228894,0.6,0.4,0.27700318526199735,0.9977554112591674,0.0022445887408325373,1.031202575077148,0.9426457755196065,0.40933772968132115,0.3762764274777928,0.2466655182883045,0.8,0.5117346999468282,500,1,0.9346146273966783,1.3643351557708476,0.0022445887408325373,0.23930747191847335,0.05735422448039351
S1,0,GA,0.32800927704194177,0.7690227049023257,2.9214228654160364,0.11827950797511441,0.85,0.15,0.1574795477577356,0.9973712880502401,0.0026287119497600043,1.0297857390855787,0.9627606782174325,0.47850193312658473,0.4371265130400408,0.19667162643350647,0.75,0.528910499997437,500,1,0.688749108876787,0.759506792990896,0.0026287119497600043,0.14313736086709394,0.0372393217825675
S1,0,PSO,0.6635952342955722,1.6282105622820182,5.096778458999617,0.13731440458167904,0.5,0.5,0.6803287358861111,0.9961844884806741,0.0038155115193259205,1.047098319004159,0.8762020127711995,0.29106833485030276,0.1911700172019145,0.37588471737384677,0.5,0.48730469995643944,500,1,1.3864349477313282,0.760188900793217,0.0038155115193259205,0.7345014474222895,0.12379798722880053
S1,0,DE,0.810463509828128,1.60661304016763,3.9326139452390705,0.16098171864170002,0.35,0.65,0.6682039097553245,0.9999403075252971,5.969247470284933e-05,1.0141330338257768,0.8767131030158807,0.3613193217292849,0.2963261410423232,0.37499865690905176,0.2,0.5213384999660775,500,1,1.7357757964922285,0.9453893270550248,5.969247470284933e-05,0.8648247544170349,0.12328689698411932
S1,0,Local-only,1.1223074847325394,2.647119223826342,6.974036912076827,0.16261306011442345,0.15,0.85,1.4051786276524438,1.0,0.0,0.0,0.8023650271664214,0.18925817035395934,0.1529330802428108,0.49630186113919106,0.0,0.0003280999371781945,1,1,2.377076428546537,1.0,0.0,1.3935725266834735,0.19763497283357856
S1,0,Random-feasible,0.7875271384855345,1.4510638339400173,5.018813596005078,0.1535315530847244,0.5,0.5,0.6220730518692078,0.9972554020920015,0.002744597907998486,1.036927281329623,0.8775184491711356,0.3062816349166566,0.2963261410423232,0.37360029488322977,0.6,0.0008413000032305717,1,1,1.564472151148107,1.2124546596786978,0.002744597907998486,0.7824789981630944,0.12248155082886436
S1,0,Max-SINR,0.3953034379003638,0.6207128975337748,1.0984732157036565,0.06637464135045865,0.9,0.1,0.1766118525553147,0.9990716590137889,0.0009283409862110292,1.0110048581581108,0.9614581228005661,0.45512504896573647,0.2963261410423232,0.2002171362289848,0.95,0.0012611999409273267,1,1,0.7988990452633005,0.6911632699583045,0.0009283409862110292,0.34374894525454297,0.038541877199433916
S1,0,Delay-Greedy,0.3608548296058234,0.6586212458458747,1.1297255484839845,0.06766734324993928,0.95,0.05,0.11873300419640898,0.9990916407889001,0.0009083592110999628,1.0117437982758062,0.9753677566639153,0.9524500605606953,0.2963261410423232,0.15891605877741288,0.95,0.001241800026036799,1,1,0.7742261087162002,0.5787990392860605,0.0009083592110999628,0.3064077527649264,0.024632243336084714
S1,0,Load-Aware,0.3608548296058234,0.6586212458458747,1.1297255484839845,0.06766734324993928,0.95,0.05,0.11873300419640898,0.9990916407889001,0.0009083592110999628,1.0117437982758062,0.9753677566639153,0.9524500605606953,0.2963261410423232,0.15891605877741288,0.95,0.0012457999400794506,1,1,0.7742261087162002,0.5787990392860605,0.0009083592110999628,0.3064077527649264,0.024632243336084714
S1,0,Offload-then-Allocate,0.3702736289863302,0.6139706803044673,1.2142217940826228,0.06516195803140272,0.9,0.1,0.1307979348500175,0.9991913436505249,0.0008086563494750954,1.0107846569904422,0.9737345855611331,0.7801430059369254,0.2963261410423232,0.16423731296286614,0.95,0.0015363000566139817,1,1,0.7678649482651708,0.6377196915736479,0.0008086563494750954,0.31419157899306094,0.026265414438866874
S1,1,RFOTO-ABC,0.1509559166990821,0.3820992407262187,1.1825399436414596,0.03691402250927449,0.85,0.15,0.055754779694283926,0.9999594717429325,4.0528257067590226e-05,1.0107374071452764,0.9888113576473299,0.840259660913922,0.5515567906913142,0.10637313842026393,0.85,0.5167255999986082,500,1,0.3787583612816102,0.28385513159730646,4.0528257067590226e-05,0.0480066185390782,0.011188642352670142
S1,1,Standard-ABC,0.1997740975683936,0.4965988733982168,1.1825399436414596,0.06009447590286175,0.75,0.25,0.0631616745009578,0.9995060881251294,0.0004939118748704452,1.019989469914011,0.9884384834527173,0.840259660913922,0.5515567906913142,0.10815150808442342,0.8,0.5152890000026673,500,1,0.5149077718765233,0.3719205817332629,0.0004939118748704452,0.05370422992882734,0.011561516547282658
S1,1,GA,0.13755812156112102,0.359451514890858,1.1649830676377095,0.026930783749188576,0.95,0.05,0.040652496431656,0.9954298362868107,0.00457016371318929,1.022859448337849,0.9900054521448132,0.9192642461318848,0.5515567906913142,0.1004761030604078,0.95,0.5026991000631824,500,1,0.3611148325310154,0.24698940488088544,0.00457016371318929,0.03127115110127385,0.00999454785518683
S1,1,PSO,0.3956259337747601,0.919617621911408,1.8657417415632376,0.13220318102570336,0.5,0.5,0.23778297794863817,0.9961203549712805,0.003879645028719636,1.122770751969162,0.9598990844928558,0.5491766871559594,0.5039547199842159,0.20439221734659027,0.3,0.6766514999326319,500,1,0.901045856138452,0.7328874911154869,0.003879645028719636,0.21456111896403385,0.04010091550714423
S1,1,DE,0.44214344913100573,1.0581583872250562,1.9794077323209796,0.11608000028968009,0.45,0.55,0.327498989763233,0.9990844628261233,0.0009155371738767904,1.0686686169599187,0.9428672902716446,0.494013513187627,0.30513058405243626,0.24615979779881406,0.3,0.5434599000727758,500,1,0.9790896192123865,0.810397214500085,0.0009155371738767904,0.26823379303547074,0.05713270972835538
S1,1,Local-only,0.6495073800380757,1.424924284151773,2.552511755184044,0.1997414341525156,0.2,0.8,0.47745313985725923,1.0,0.0,0.0,0.9329131295303367,0.494013513187627,0.30513058405243626,0.2681625729216333,0.0,0.0003431999357417226,1,1,1.467688032091065,1.0,0.0,0.4900893657794399,0.06708687046966333
S1,1,Random-feasible,0.4198290060262582,0.9552558695824913,2.552511755184044,0.12003462827922133,0.6,0.4,0.2740825662119456,0.9941112606955288,0.005888739304471219,1.0391965299731416,0.9463529986364941,0.4966444919263223,0.30513058405243626,0.23809273541881074,0.6,0.0008131999056786299,1,1,1.0083968576633882,0.5533677452187192,0.005888739304471219,0.3019993270487327,0.053647001363505864
S1,1,Max-SINR,0.14451559692479485,0.36393047401164663,1.1825399436414596,0.0347617089565637,0.85,0.15,0.055754779694283926,0.9999811306389667,1.8869361033424516e-05,1.0070146458430702,0.9888102480851463,0.840259660913922,0.5515567906913142,0.10637847241256658,0.85,0.001430200063623488,1,1,0.37927646154822636,0.2400839349568932,1.8869361033424516e-05,0.0480066185390782,0.011189751914853718
S1,1,Delay-Greedy,0.16010897509211758,0.41066684896913247,1.1825399436414596,0.039825040248595914,0.85,0.15,0.055754779694283926,0.9999711959782243,2.8804021775596934e-05,1.009522075787665,0.9888107588762657,0.840259660913922,0.5515567906913142,0.10637601692090717,0.85,0.00130690005607903,1,1,0.40604400935184704,0.2994144743098067,2.8804021775596934e-05,0.0480066185390782,0.011189241123734317
S1,1,Load-Aware,0.15246325141395978,0.39099870083617716,1.1825399436414596,0.037548742679364325,0.85,0.15,0.055754779694283926,0.999961946033687,3.805396631296753e-05,1.0104099690688197,0.9888112316859694,0.840259660913922,0.5515567906913142,0.10637374396649059,0.85,0.0012527999933809042,1,1,0.3842214833339785,0.28480199936885614,3.805396631296753e-05,0.0480066185390782,0.011188768314030595
