algorithm,objective_mean,mean_rank,unique_best,tied_best,not_best,runtime_s
RFOTO-ABC,0.280207386445199,1.1458333333333333,45,2,1,0.8347136187524787
LSHADE-lite,0.2864410853862449,4.260416666666667,1,2,45,0.8117568104122862
JADE,0.28733814026869675,4.416666666666667,0,2,46,0.8497020833310671
Gbest-ABC,0.28770080834038686,4.520833333333333,0,2,46,0.8415333458348565
MeABC,0.28755185654982596,4.59375,0,2,46,0.8342042104134938
GWO,0.2878832371770388,4.65625,0,2,46,0.8718731729156085
CMAES-lite,0.2878832371770388,4.65625,0,2,46,0.8658221270743525
GA,0.49565745156888363,7.75,0,0,48,0.8581358687467097
Standard-ABC,0.6321255607313033,9.0,0,0,48,0.8692651458319839
PSO,0.8024410585895408,10.0,0,0,48,0.931401260416654
DE,1.0879259544115139,11.0,0,0,48,0.8691207020844255
