algorithm,S1,S2,S3,S4,S5,S6
RFOTO-ABC,0.154587578247206,0.191309140748273,0.34325469669708,0.271118851519965,0.342488696642601,0.358800968546158
Offload-then-Allocate,0.157228206800027,0.179022265211573,0.368121461074586,0.261612407825633,0.356741014858164,0.380656844538701
Load-Aware,0.168906405893845,0.208592556087107,0.351814904071672,0.281746473976195,0.351327745886267,0.362874731627139
Delay-Greedy,0.172976829143478,0.213607103370406,0.428085657029024,0.298337301639093,0.408194380418417,0.432831258257757
GA,0.176595390976381,0.331615150671497,0.540693554427383,0.526726078667169,0.618636273507234,0.640601444016608
Standard-ABC,0.273936957654654,0.508420771859515,0.718037487917478,0.664823625655781,0.734416316384661,0.749674816253976
PSO,0.489222717282846,0.72962184490644,1.00142433841649,0.777456553598007,0.891995428384564,0.854861423109129
DE,0.577678294279915,1.01796896387724,1.3890333003027,0.908749852610251,1.19783713793594,1.06361552494352
Max-SINR,0.162082189074377,0.185534947474887,0.390261590094348,0.27993332770208,0.384488360960592,0.407164166169573
Random-feasible,0.611671071873041,0.89221166947579,1.20013510397101,0.883757831586626,1.07337778179723,1.08331095497389
Local-only,0.855486216682627,0.879720906966681,0.855045687891328,0.850323349766727,0.840583867409987,0.833232218899979
