algorithm,objective_mean,mean_rank,unique_best,tied_best,not_best,runtime_s
RFOTO-ABC,0.280207386445199,1.14583333333333,45,2,1,0.834713618752479
LSHADE-lite,0.286441085386245,4.26041666666667,1,2,45,0.811756810412286
JADE,0.287338140268697,4.41666666666667,0,2,46,0.849702083331067
Gbest-ABC,0.287700808340387,4.52083333333333,0,2,46,0.841533345834857
MeABC,0.287551856549826,4.59375,0,2,46,0.834204210413494
GWO,0.287883237177039,4.65625,0,2,46,0.871873172915609
CMAES-lite,0.287883237177039,4.65625,0,2,46,0.865822127074352
GA,0.495657451568884,7.75,0,0,48,0.85813586874671
Standard-ABC,0.632125560731303,9,0,0,48,0.869265145831984
PSO,0.802441058589541,10,0,0,48,0.931401260416654
DE,1.08792595441151,11,0,0,48,0.869120702084425
