scenario,budget,initialization,DE-RK,LSHADE-lite,Plain-ABC,RFOTO-ABC
S2,320,greedy,0.209880058488371,0.206849999335027,0.202770856389433,0.197401534337534
S2,320,random,0.556925604714961,0.437469141479189,0.520821047596113,0.455736385951813
S2,1000,greedy,0.209880058488371,0.19445735304249,0.193474276483123,0.188081624747818
S2,1000,random,0.532563252837814,0.342550841809685,0.440528549217491,0.346932595513099
S4,320,greedy,0.305883662864491,0.304253212651289,0.300852805754512,0.295524783053218
S4,320,random,0.698176614932146,0.619675883933216,0.683495634769712,0.620385141790633
S4,1000,greedy,0.305883662864491,0.299761040761676,0.293234260215134,0.293369559106228
S4,1000,random,0.681772059148776,0.555901987257871,0.63667344981972,0.52709355817218
S6,320,greedy,0.379926578273359,0.379747574769777,0.377745056920427,0.375075712740898
S6,320,random,0.776146337647978,0.724498047613531,0.775148376485225,0.740810604135644
S6,1000,greedy,0.379926578273359,0.379185755419316,0.375324418389487,0.371254741074467
S6,1000,random,0.766657342716859,0.676260550515972,0.744210189809667,0.676455775745901
