parameter,value,n,objective_mean,objective_sd
abandonment_limit,15,6,0.288001240986015,0.0261933315772962
abandonment_limit,35,6,0.288217986352611,0.0270844330337827
abandonment_limit,55,6,0.288217986352611,0.0270844330337827
candidate_limit,2,6,0.288156519477808,0.0273057332595323
candidate_limit,4,6,0.288217986352611,0.0270844330337827
candidate_limit,6,6,0.288212332314049,0.0275380582582034
candidate_limit,8,6,0.287858147897457,0.0269324841252064
fairness_strength,0,6,0.287979079025441,0.0274066086298301
fairness_strength,0.5,6,0.288228645009467,0.0270782326158703
fairness_strength,1,6,0.288217986352611,0.0270844330337827
fairness_strength,2,6,0.28470483875361,0.0223650257425228
greedy_ratio,0.15,6,0.286836744461647,0.0245260829036765
greedy_ratio,0.35,6,0.288217986352611,0.0270844330337827
greedy_ratio,0.55,6,0.28295355797715,0.0252228220793091
greedy_ratio,0.75,6,0.288958441446707,0.0283582784594041
population,8,6,0.286927929296321,0.0270351628309864
population,14,6,0.288217986352611,0.0270844330337827
population,20,6,0.287741514801657,0.026861799941562
population,28,6,0.289929798659647,0.0292688361161579
reliability_risk_weight,0.15,6,0.286071992554353,0.0239869223158971
reliability_risk_weight,0.35,6,0.288217986352611,0.0270844330337827
reliability_risk_weight,0.55,6,0.288117185965677,0.0266990670300058
resource_temperature,0.4,6,0.466438530665603,0.0754566944594626
resource_temperature,0.8,6,0.288217986352611,0.0270844330337827
resource_temperature,1.2,6,0.268536882896089,0.0251419834193257
resource_temperature,1.6,6,0.263113429266451,0.024938449289307
