scenario,algorithm,theta,n,objective_mean,objective_sd
S1,LSHADE-lite,0.8,20,0.1502959856976,0.0365594820130282
S1,Offload-then-Allocate,0.8,20,0.149023569221316,0.0468262518148144
S1,Plain-ABC,0.8,20,0.154497576962995,0.0423486746023686
S1,RFOTO-ABC,0.8,20,0.153084367473907,0.0433566550750001
S1,RFOTO-ABC-T16,1.6,20,0.138198521014833,0.0369576905875889
S2,LSHADE-lite,0.8,20,0.20208517056457,0.0336890668154925
S2,Offload-then-Allocate,0.8,20,0.188454463658112,0.0315943616162506
S2,Plain-ABC,0.8,20,0.196946705207227,0.0328654304860357
S2,RFOTO-ABC,0.8,20,0.19442662971942,0.0327642729539953
S2,RFOTO-ABC-T16,1.6,20,0.176158101606496,0.0296092239236228
S3,LSHADE-lite,0.8,20,0.352750053722639,0.0342748162754024
S3,Offload-then-Allocate,0.8,20,0.364461245198946,0.0437782861390052
S3,Plain-ABC,0.8,20,0.350749838575845,0.0335823470587512
S3,RFOTO-ABC,0.8,20,0.346512527167918,0.03373540750223
S3,RFOTO-ABC-T16,1.6,20,0.316814196068185,0.027234406541187
S4,LSHADE-lite,0.8,20,0.291698732220147,0.0327103586297224
S4,Offload-then-Allocate,0.8,20,0.272567273139831,0.0323565521711361
S4,Plain-ABC,0.8,20,0.287979209862664,0.0321561220516247
S4,RFOTO-ABC,0.8,20,0.27543723401551,0.0303190710157809
S4,RFOTO-ABC-T16,1.6,20,0.252222987529771,0.0277284546895467
S5,LSHADE-lite,0.8,20,0.344495648255086,0.0261552672302016
S5,Offload-then-Allocate,0.8,20,0.361852638341965,0.0380070493285377
S5,Plain-ABC,0.8,20,0.342718008408179,0.0250573296382097
S5,RFOTO-ABC,0.8,20,0.339452180603848,0.025416302398022
S5,RFOTO-ABC-T16,1.6,20,0.313542923784997,0.024912156787689
S6,LSHADE-lite,0.8,20,0.384790845187094,0.0271698008454264
S6,Offload-then-Allocate,0.8,20,0.40356857013978,0.0356584162518512
S6,Plain-ABC,0.8,20,0.38259110740821,0.0271619199959348
S6,RFOTO-ABC,0.8,20,0.379505210903633,0.0268460310917421
S6,RFOTO-ABC-T16,1.6,20,0.353587380781442,0.0297111915770654
