ood_case,algorithm,n,objective_mean,objective_sd,deadline_rate,jain_mean
S3 heavy load,Delay-Greedy,15,0.41832391150631,0.0423187563880817,0.451333333333333,0.961456440213484
S3 heavy load,RFOTO-ABC,15,0.35664578380313,0.0315699240537195,0.322,0.971512608117669
S3 heavy load,Standard-ABC,15,0.83731777183469,0.0560089766869583,0.680666666666667,0.861011616474914
S4 observed link degradation,Delay-Greedy,15,0.509175871161239,0.0437194160296313,0.319333333333333,0.933500238251386
S4 observed link degradation,RFOTO-ABC,15,0.488335879068274,0.0441794113276513,0.314,0.93434170294465
S4 observed link degradation,Standard-ABC,15,0.732712501768868,0.0587041230808795,0.675333333333333,0.883053523259165
S2 baseline,Delay-Greedy,15,0.211175131817825,0.0518249383654435,0.0546666666666667,0.991061321777733
S2 baseline,RFOTO-ABC,15,0.178963028229289,0.0210054427042836,0.0386666666666667,0.995314127766029
S2 baseline,Standard-ABC,15,0.497581167017508,0.0441325488389004,0.450666666666667,0.920082588114583
S5 CPU reduction and bandwidth increase,Delay-Greedy,15,0.402787516476344,0.0469294256982042,0.432888888888889,0.964475601228812
S5 CPU reduction and bandwidth increase,RFOTO-ABC,15,0.341694007161296,0.0236491048143232,0.321777777777778,0.974063029836606
S5 CPU reduction and bandwidth increase,Standard-ABC,15,0.731821679043518,0.0511390580395574,0.684444444444444,0.880139057845217
